IDENTIFIERS,,,,,CORE TRAIT INFORMATION,,,,,,,,,,,,,,,,,,,,,DATA PROVENANCE,,,,,,,,,,,,,,
obsNum,primRef,primRef_URL,secRef,secRef_URL,taxa,life_stage,sex,n_indiv,no_groups,n_measurements_sampled,rate_name,rate_value,rate_min,rate_max,data_type,rate_unit,rate_error,rate_error_type,temp_C,body_length_mm,BM_wet,BM_dry,BM_C,weight_unit,weight_calc,depth_m,depth_min,depth_max,food_type,food_conc,food_conc_unit,method,treatment,locality,lat,lon,source,sourceNotes,verbatimComments,comments
21,Atkinson1997,https://www.int-res.com/abstracts/meps/v160/meps160063,Acuna2011,https://doi.org/10.1594/PANGAEA.832240,Euphausia superba,Unkown,Unkown,NA,NA,NA,ClearanceRate,6.48,NA,NA,Replicate,l/ind/day,NA,NA,2,NA,0.000246,5.42e-05,1.93e-05,kg,Calculated,NA,NA,NA,NA,NA,NA,In situ bottle incubation,NA,South Georgia Island,-54.1,-36.533333,Pangaea,Downloaded tab-delimited dataset from Pangaea and extracted data from csv. Verified carbon weight units and values from secondary reference supp matterials,Carbon to DW conversion factors from Meyer et al. (2002) WW to dry weigth conversion factor from Ikeda and Bruce (1986).,Extracted from Acuna2011 and verified with supplementary materials
22,Atkinson1997,https://www.int-res.com/abstracts/meps/v160/meps160063,Acuna2011,https://doi.org/10.1594/PANGAEA.832240,Euphausia superba,Unkown,Unkown,NA,NA,NA,ClearanceRate,5.96,NA,NA,Replicate,l/ind/day,NA,NA,2,NA,0.000246,5.42e-05,1.93e-05,kg,Calculated,NA,NA,NA,NA,NA,NA,In situ bottle incubation,NA,South Georgia Island,-54.1,-36.533333,Pangaea,Downloaded tab-delimited dataset from Pangaea and extracted data from csv. Verified carbon weight units and values from secondary reference supp matterials,Carbon to DW conversion factors from Meyer et al. (2002) WW to dry weigth conversion factor from Ikeda and Bruce (1986).,Extracted from Acuna2011 and verified with supplementary materials
23,Atkinson2002,https://doi.org/10.4319/lo.2002.47.4.0953,Acuna2011,https://doi.org/10.1594/PANGAEA.832240,Euphausia superba,Unkown,Unkown,NA,NA,NA,ClearanceRate,0.72,NA,NA,Replicate,l/ind/day,NA,NA,1.5,NA,0.000245,5.4e-05,1.93e-05,kg,Calculated,NA,50,100,Mixed species,NA,NA,In situ bottle incubation,Varying food groups,Lazarev Sea,-69.716667,-4.633333,Pangaea,Downloaded tab-delimited dataset from Pangaea and extracted data from csv. Verified carbon weight units and values from secondary reference supp matterials,Carbon to DW conversion factors from Meyer et al. (2002) WW to dry weigth conversion factor from Ikeda and Bruce (1986).,Extracted from Acuna2011 and verified with supplementary materials
24,Atkinson2002,https://doi.org/10.4319/lo.2002.47.4.0953,Acuna2011,https://doi.org/10.1594/PANGAEA.832240,Euphausia superba,Unkown,Unkown,NA,NA,NA,ClearanceRate,1.8,NA,NA,Replicate,l/ind/day,NA,NA,1.5,NA,0.000245,5.4e-05,1.93e-05,kg,Calculated,NA,50,100,Mixed species,NA,NA,In situ bottle incubation,Varying food groups,Lazarev Sea,-69.716667,-4.633333,Pangaea,Downloaded tab-delimited dataset from Pangaea and extracted data from csv. Verified carbon weight units and values from secondary reference supp matterials,Carbon to DW conversion factors from Meyer et al. (2002) WW to dry weigth conversion factor from Ikeda and Bruce (1986).,Extracted from Acuna2011 and verified with supplementary materials
25,Atkinson2002,https://doi.org/10.4319/lo.2002.47.4.0953,Acuna2011,https://doi.org/10.1594/PANGAEA.832240,Euphausia superba,Unkown,Unkown,NA,NA,NA,ClearanceRate,1.22,NA,NA,Replicate,l/ind/day,NA,NA,1.5,NA,0.000245,5.4e-05,1.93e-05,kg,Calculated,NA,50,100,Mixed species,NA,NA,In situ bottle incubation,Varying food groups,Lazarev Sea,-69.716667,-4.633333,Pangaea,Downloaded tab-delimited dataset from Pangaea and extracted data from csv. Verified carbon weight units and values from secondary reference supp matterials,Carbon to DW conversion factors from Meyer et al. (2002) WW to dry weigth conversion factor from Ikeda and Bruce (1986).,Extracted from Acuna2011 and verified with supplementary materials
26,Atkinson2002,https://doi.org/10.4319/lo.2002.47.4.0953,Acuna2011,https://doi.org/10.1594/PANGAEA.832240,Euphausia superba,Unkown,Unkown,NA,NA,NA,ClearanceRate,0.648,NA,NA,Replicate,l/ind/day,NA,NA,1.5,NA,0.000245,5.4e-05,1.93e-05,kg,Calculated,NA,50,100,Mixed species,NA,NA,In situ bottle incubation,Varying food groups,Lazarev Sea,-69.716667,-4.633333,Pangaea,Downloaded tab-delimited dataset from Pangaea and extracted data from csv. Verified carbon weight units and values from secondary reference supp matterials,Carbon to DW conversion factors from Meyer et al. (2002) WW to dry weigth conversion factor from Ikeda and Bruce (1986).,Extracted from Acuna2011 and verified with supplementary materials
27,Atkinson2002,https://doi.org/10.4319/lo.2002.47.4.0953,Acuna2011,https://doi.org/10.1594/PANGAEA.832240,Euphausia superba,Unkown,Unkown,NA,NA,NA,ClearanceRate,2.74,NA,NA,Replicate,l/ind/day,NA,NA,1.5,NA,0.000245,5.4e-05,1.93e-05,kg,Calculated,NA,50,100,Mixed species,NA,NA,In situ bottle incubation,Varying food groups,Lazarev Sea,-69.716667,-4.633333,Pangaea,Downloaded tab-delimited dataset from Pangaea and extracted data from csv. Verified carbon weight units and values from secondary reference supp matterials,Carbon to DW conversion factors from Meyer et al. (2002) WW to dry weigth conversion factor from Ikeda and Bruce (1986).,Extracted from Acuna2011 and verified with supplementary materials
28,Atkinson2002,https://doi.org/10.4319/lo.2002.47.4.0953,Acuna2011,https://doi.org/10.1594/PANGAEA.832240,Euphausia superba,Unkown,Unkown,NA,NA,NA,ClearanceRate,0.792,NA,NA,Replicate,l/ind/day,NA,NA,1.5,NA,0.000245,5.4e-05,1.93e-05,kg,Calculated,NA,50,100,Mixed species,NA,NA,In situ bottle incubation,Varying food groups,Lazarev Sea,-69.716667,-4.633333,Pangaea,Downloaded tab-delimited dataset from Pangaea and extracted data from csv. Verified carbon weight units and values from secondary reference supp matterials,Carbon to DW conversion factors from Meyer et al. (2002) WW to dry weigth conversion factor from Ikeda and Bruce (1986).,Extracted from Acuna2011 and verified with supplementary materials
29,Atkinson2002,https://doi.org/10.4319/lo.2002.47.4.0953,Acuna2011,https://doi.org/10.1594/PANGAEA.832240,Euphausia superba,Unkown,Unkown,NA,NA,NA,ClearanceRate,1.51,NA,NA,Replicate,l/ind/day,NA,NA,1.5,NA,0.000245,5.4e-05,1.93e-05,kg,Calculated,NA,50,100,Mixed species,NA,NA,In situ bottle incubation,Varying food groups,Lazarev Sea,-69.716667,-4.633333,Pangaea,Downloaded tab-delimited dataset from Pangaea and extracted data from csv. Verified carbon weight units and values from secondary reference supp matterials,Carbon to DW conversion factors from Meyer et al. (2002) WW to dry weigth conversion factor from Ikeda and Bruce (1986).,Extracted from Acuna2011 and verified with supplementary materials
30,Atkinson2002,https://doi.org/10.4319/lo.2002.47.4.0953,Acuna2011,https://doi.org/10.1594/PANGAEA.832240,Euphausia superba,Unkown,Unkown,NA,NA,NA,ClearanceRate,0.536,NA,NA,Replicate,l/ind/day,NA,NA,1.5,NA,0.00115,0.000253,9.03e-05,kg,Calculated,NA,50,100,Mixed species,NA,NA,In situ bottle incubation,Varying food groups,Lazarev Sea,-69.716667,-4.633333,Pangaea,Downloaded tab-delimited dataset from Pangaea and extracted data from csv. Verified carbon weight units and values from secondary reference supp matterials,Carbon to DW conversion factors from Meyer et al. (2002) WW to dry weigth conversion factor from Ikeda and Bruce (1986).,Extracted from Acuna2011 and verified with supplementary materials
