,IDENTIFIERS,,,,,CORE TRAIT INFORMATION,,,,,,,,,,,,,,,,,,,,,DATA PROVENANCE,,,,,,,,,,,,,,
ref_no,obsNum,primRef,primRef_URL,secRef,secRef_URL,taxa,life_stage,sex,n_indiv,no_groups,n_measurements_sampled,rate_name,rate_value,rate_min,rate_max,data_type,rate_unit,rate_error,rate_error_type,temp_C,body_length_mm,BM_wet,BM_dry,BM_C,weight_unit,weight_calc,depth_m,depth_min,depth_max,food_type,food_conc,food_conc_unit,method,treatment,locality,lat,lon,source,sourceNotes,verbatimComments,comments
Pata_25145,2,Castellani2005,10.3354/meps285129,Brun2016,10.1594/PANGAEA.862968,Oithona similis,Unknown,Unknown,NA,NA,NA,RespirationRate,3.2809963636363633,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,6.630769231,NA,NA,NA,5.5e-4,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,English Channel,50.25,-4.216667,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25147,3,Castellani2005,10.3354/meps285129,Brun2016,10.1594/PANGAEA.862968,Oithona similis,Unknown,Unknown,NA,NA,NA,RespirationRate,2.278881818181818,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,8.4,NA,NA,NA,5.5e-4,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,English Channel,50.25,-4.216667,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25149,4,Castellani2005,10.3354/meps285129,Brun2016,10.1594/PANGAEA.862968,Oithona similis,Unknown,Unknown,NA,NA,NA,RespirationRate,3.5050454545454546,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,10.42153846,NA,NA,NA,5.5e-4,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,English Channel,50.25,-4.216667,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25151,5,Castellani2005,10.3354/meps285129,Brun2016,10.1594/PANGAEA.862968,Oithona similis,Unknown,Unknown,NA,NA,NA,RespirationRate,7.942289090909091,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,15.10769231,NA,NA,NA,5.5e-4,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,English Channel,50.25,-4.216667,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25153,6,Castellani2005,10.3354/meps285129,Brun2016,10.1594/PANGAEA.862968,Oithona similis,Unknown,Unknown,NA,NA,NA,RespirationRate,9.896803636363636,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,18.29230769,NA,NA,NA,5.5e-4,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,English Channel,50.25,-4.216667,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25155,7,Castellani2005,10.3354/meps285129,Brun2016,10.1594/PANGAEA.862968,Oithona similis,Unknown,Unknown,NA,NA,NA,RespirationRate,13.038849090909089,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,20.4,NA,NA,NA,5.5e-4,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,English Channel,50.25,-4.216667,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25157,8,Castellani2005,10.3354/meps285129,Brun2016,10.1594/PANGAEA.862968,Oithona similis,Unknown,Unknown,NA,NA,NA,RespirationRate,14.655741818181818,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,24.92307692,NA,NA,NA,5.5e-4,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,English Channel,50.25,-4.216667,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_excl_11841,1,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Acartia (Odontacartia) spinicauda,Adult,Female,NA,NA,NA,RespirationRate,247.46450304259633,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,30,NA,NA,NA,0.00986,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_excl_7504,2,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Calanus pacificus,Adult,Male,NA,NA,NA,RespirationRate,9.939148073022313,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,17,NA,NA,NA,0.04437,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_24829,3,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Candacia ethiopica,Adult,Female,NA,NA,NA,RespirationRate,54.92276486191294,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,28.8,NA,NA,NA,0.032045,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
