ref_no,assocTemperature,traitValue,traitName,traitUnit,scientificName,primaryReference,primaryReferenceDOI,secondaryReference,secondaryReferenceDOI,sizeAssocName,sizeAssocValue,sizeAssocUnit
Pata_26439,22,7e-4,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0197,mg
Pata_26440,22,0.0014,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0279,mg
Pata_26441,22,9e-4,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0304,mg
Pata_26442,22,0.0012,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0179,mg
Pata_26443,28,5e-4,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0163,mg
Pata_26444,28,0.0021,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.019,mg
Pata_26445,28,0.001,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0158,mg
Pata_26446,22,5e-4,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0267,mg
Pata_26447,28,0.0022,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0177,mg
Pata_26448,20,0.488,excretionRateN,ug N-NH4+ h^-1,Arietellus plumifer,Ikeda2006,NA,Hebert2016,10.1890/15-1275.1,dryWeight,1.53,mg
Pata_26449,22,0.0024,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0796,mg
Pata_26450,22,0.0011,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0724,mg
Pata_26451,22,0.004,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0661,mg
Pata_26452,22,0.0086,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0876,mg
Pata_26453,22,0.0013,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0773,mg
Pata_26454,22,9e-4,excretionRateN,ug N-NH4+ h^-1,Calanopia elliptica,Hessen1991,NA,Hebert2016,10.1890/15-1275.1,dryWeight,0.0734,mg
