ref_no,assocTemperature,traitValue,traitName,traitUnit,scientificName,primaryReference,primaryReferenceDOI,secondaryReference,secondaryReferenceDOI,sizeAssocName,sizeAssocValue,sizeAssocUnit
Pata_27049,24,0.0341,excretionRateN,ug N-NH4+ h^-1,Oikopleura (Vexillaria) dioica,Gorsky1987,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.00917,mg
Pata_27050,24,0.0401,excretionRateN,ug N-NH4+ h^-1,Oikopleura (Vexillaria) dioica,Gorsky1987,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.00917,mg
Pata_27051,24,0.0356,excretionRateN,ug N-NH4+ h^-1,Oikopleura (Vexillaria) dioica,Gorsky1987,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.00917,mg
Pata_27052,29,44.38,excretionRateN,ug N-NH4+ h^-1,Penaeus setiferus,HaertelBorer2004,NA,Vanni2016,10.1002/ecy.1582,dryWeight,425,mg
Pata_27053,29,51.46,excretionRateN,ug N-NH4+ h^-1,Penaeus setiferus,HaertelBorer2004,NA,Vanni2016,10.1002/ecy.1582,dryWeight,495,mg
Pata_27054,29,54.98,excretionRateN,ug N-NH4+ h^-1,Penaeus setiferus,HaertelBorer2004,NA,Vanni2016,10.1002/ecy.1582,dryWeight,580,mg
Pata_27055,29,69.38,excretionRateN,ug N-NH4+ h^-1,Penaeus setiferus,HaertelBorer2004,NA,Vanni2016,10.1002/ecy.1582,dryWeight,675,mg
Pata_27056,29,62.96,excretionRateN,ug N-NH4+ h^-1,Penaeus setiferus,HaertelBorer2004,NA,Vanni2016,10.1002/ecy.1582,dryWeight,695,mg
Pata_27057,29,132.15,excretionRateN,ug N-NH4+ h^-1,Penaeus setiferus,HaertelBorer2004,NA,Vanni2016,10.1002/ecy.1582,dryWeight,735,mg
Pata_27058,29,80.91,excretionRateN,ug N-NH4+ h^-1,Penaeus setiferus,HaertelBorer2004,NA,Vanni2016,10.1002/ecy.1582,dryWeight,745,mg
Pata_27059,29,160.92,excretionRateN,ug N-NH4+ h^-1,Penaeus setiferus,HaertelBorer2004,NA,Vanni2016,10.1002/ecy.1582,dryWeight,830,mg
Pata_27060,27.9,101.51,excretionRateN,ug N-NH4+ h^-1,Penaeus setiferus,HaertelBorer2004,NA,Vanni2016,10.1002/ecy.1582,dryWeight,910,mg
Pata_27061,29,165.9,excretionRateN,ug N-NH4+ h^-1,Penaeus setiferus,HaertelBorer2004,NA,Vanni2016,10.1002/ecy.1582,dryWeight,955,mg
Pata_27062,14.9,0.697,excretionRateN,ug N-NH4+ h^-1,Xenacanthomysis pseudomacropsis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,2.4,mg
Pata_27063,14.9,0.562,excretionRateN,ug N-NH4+ h^-1,Xenacanthomysis pseudomacropsis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,3.35,mg
Pata_27064,25,0.0028,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) australis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.00747,mg
Pata_27065,25,0.0063,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) australis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.00937,mg
Pata_27066,25,0.0042,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) australis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.00972,mg
Pata_27067,25,0.0045,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) australis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0099,mg
Pata_27068,27,0.0051,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) australis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0145,mg
Pata_27069,27,0.0132,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) australis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0147,mg
Pata_27070,27,0.0099,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) australis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0231,mg
Pata_27071,14.2,0.0035,excretionRateN,ug N-NH4+ h^-1,Acartia (Acartiura) clausi,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0063,mg
Pata_27072,14.2,0.0071,excretionRateN,ug N-NH4+ h^-1,Acartia (Acartiura) clausi,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0064,mg
Pata_27073,15.4,0.005,excretionRateN,ug N-NH4+ h^-1,Acartia (Acartiura) clausi,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0104,mg
Pata_27074,15.4,0.0074,excretionRateN,ug N-NH4+ h^-1,Acartia (Acartiura) clausi,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0108,mg
Pata_27075,9.7,0.0022,excretionRateN,ug N-NH4+ h^-1,Acartia (Acartiura) longiremis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0068,mg
Pata_27076,9.7,0.0026,excretionRateN,ug N-NH4+ h^-1,Acartia (Acartiura) longiremis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0068,mg
Pata_27077,9.7,0.0014,excretionRateN,ug N-NH4+ h^-1,Acartia (Acartiura) longiremis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.007,mg
Pata_27078,13.1,0.0019,excretionRateN,ug N-NH4+ h^-1,Acartia (Acartiura) longiremis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0073,mg
Pata_27079,13.1,0.0018,excretionRateN,ug N-NH4+ h^-1,Acartia (Acartiura) longiremis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0076,mg
Pata_27080,10,0.0025,excretionRateN,ug N-NH4+ h^-1,Acartia (Acartiura) longiremis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0088,mg
Pata_27081,22,0.0039,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.007,mg
Pata_27082,22,0.0052,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0091,mg
Pata_27083,22,0.0081,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0099,mg
Pata_27084,22,0.0016,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0117,mg
Pata_27085,22,0.004,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0117,mg
Pata_27086,22,0.0057,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0126,mg
Pata_27087,22,0.0089,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.013,mg
Pata_27088,28,0.0091,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.015,mg
Pata_27089,28,0.0092,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0152,mg
Pata_27090,28,0.0136,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0153,mg
Pata_27091,28,0.0098,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0155,mg
Pata_27092,27.7,0.0103,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.017,mg
Pata_27093,27.7,0.0225,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.017,mg
Pata_27094,28,0.0107,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0177,mg
Pata_27095,28,0.0128,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0183,mg
Pata_27096,27.7,0.0093,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0184,mg
Pata_27097,27.7,0.0076,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0186,mg
Pata_27098,27.7,0.0069,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.019,mg
Pata_27099,28,0.0129,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0191,mg
Pata_27100,27.7,0.0179,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0193,mg
Pata_27101,27.7,0.0084,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0198,mg
Pata_27102,27.7,0.0068,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0207,mg
Pata_27103,27.7,0.0072,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.021,mg
Pata_27104,27.7,0.0329,excretionRateN,ug N-NH4+ h^-1,Acartia (Odontacartia) pacifica,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0224,mg
Pata_27105,22,0.0023,excretionRateN,ug N-NH4+ h^-1,Acartia (Acanthacartia) tonsa,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0059,mg
Pata_27106,22,0.0015,excretionRateN,ug N-NH4+ h^-1,Acartia (Acanthacartia) tonsa,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0059,mg
Pata_27107,22,0.0095,excretionRateN,ug N-NH4+ h^-1,Acartia (Acanthacartia) tonsa,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0061,mg
Pata_27108,22,0.0107,excretionRateN,ug N-NH4+ h^-1,Acartia (Acanthacartia) tonsa,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0062,mg
Pata_27109,22,0.0044,excretionRateN,ug N-NH4+ h^-1,Acartia (Acanthacartia) tonsa,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0082,mg
Pata_27110,22,0.0054,excretionRateN,ug N-NH4+ h^-1,Acartia (Acanthacartia) tonsa,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0107,mg
Pata_27111,24,0.728,excretionRateN,ug N-NH4+ h^-1,Acetes sibogae australis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,4.915,mg
Pata_27112,24,1.46,excretionRateN,ug N-NH4+ h^-1,Acetes sibogae australis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,5.691,mg
Pata_27113,24,1.15,excretionRateN,ug N-NH4+ h^-1,Acetes sibogae australis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,7.462,mg
Pata_27114,24,1.25,excretionRateN,ug N-NH4+ h^-1,Acetes sibogae australis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,7.851,mg
Pata_27115,24,1.09,excretionRateN,ug N-NH4+ h^-1,Acetes sibogae australis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,8.169,mg
Pata_27116,24,1.76,excretionRateN,ug N-NH4+ h^-1,Acetes sibogae australis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,9.426,mg
Pata_27117,29,0.0022,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0017,mg
Pata_27118,29,0.0015,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0018,mg
Pata_27119,29,0.0053,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.002,mg
Pata_27120,29,0.0017,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.002,mg
Pata_27121,29,0.0048,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0023,mg
Pata_27122,29,0.003,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0028,mg
Pata_27123,29,0.0019,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.004,mg
Pata_27124,29,0.0116,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0066,mg
Pata_27125,22,0.0093,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.007,mg
Pata_27126,29,0.0033,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0078,mg
Pata_27127,29,0.0072,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0079,mg
Pata_27128,29,0.0039,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0081,mg
Pata_27129,29,0.0036,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0083,mg
Pata_27130,29,0.0042,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0088,mg
Pata_27131,29,0.0765,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0096,mg
Pata_27132,29,0.0227,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.01,mg
Pata_27133,29,0.188,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0105,mg
Pata_27134,29,0.0064,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0108,mg
Pata_27135,29,0.0289,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0108,mg
Pata_27136,29,0.0186,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0109,mg
Pata_27137,29,0.0538,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0109,mg
Pata_27138,29,0.0331,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0117,mg
Pata_27139,28,0.0234,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0133,mg
Pata_27140,22,0.0081,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0148,mg
Pata_27141,28,0.02,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0158,mg
Pata_27142,28,0.0144,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0161,mg
Pata_27143,28,0.0253,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0163,mg
Pata_27144,28,0.0189,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0164,mg
Pata_27145,22,0.0133,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0166,mg
Pata_27146,28,0.0308,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0168,mg
Pata_27147,22,0.0138,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0169,mg
Pata_27148,22,0.0116,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.017,mg
Pata_27149,22,0.0114,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0177,mg
Pata_27150,28,0.0278,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0177,mg
Pata_27151,22,0.012,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0179,mg
Pata_27152,28,0.0238,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0182,mg
Pata_27153,28,0.0229,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.019,mg
Pata_27154,22,0.0125,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0197,mg
Pata_27155,22,0.0074,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0266,mg
Pata_27156,22,0.0111,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0267,mg
Pata_27157,22,0.0082,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0279,mg
Pata_27158,22,0.0158,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0304,mg
Pata_27159,22,0.0121,excretionRateN,ug N-NH4+ h^-1,Acrocalanus gibber,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.0304,mg
Pata_27160,6.7,0.2,excretionRateN,ug N-NH4+ h^-1,Aglantha digitale,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,2.98,mg
Pata_27161,10.2,0.28,excretionRateN,ug N-NH4+ h^-1,Aglantha digitale,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,3.8,mg
Pata_27162,0.1,0.048,excretionRateN,ug N-NH4+ h^-1,Aglantha digitale,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,6.23,mg
Pata_27163,0.1,0.053,excretionRateN,ug N-NH4+ h^-1,Aglantha digitale,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,10.31,mg
Pata_27164,0.1,0.183,excretionRateN,ug N-NH4+ h^-1,Aglantha digitale,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,10.47,mg
Pata_27165,2,0.058,excretionRateN,ug N-NH4+ h^-1,Aglantha digitale,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,12.33,mg
Pata_27166,2,0.026,excretionRateN,ug N-NH4+ h^-1,Aglantha digitale,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,12.62,mg
Pata_27167,2,0.076,excretionRateN,ug N-NH4+ h^-1,Aglantha digitale,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,13.89,mg
Pata_27168,2,0.075,excretionRateN,ug N-NH4+ h^-1,Aglantha digitale,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,19.6,mg
Pata_27169,0.1,0.139,excretionRateN,ug N-NH4+ h^-1,Aglantha digitale,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,26.51,mg
Pata_27170,15.2,0.841,excretionRateN,ug N-NH4+ h^-1,Beroe cucumis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,33.24,mg
Pata_27171,15.2,1.14,excretionRateN,ug N-NH4+ h^-1,Beroe cucumis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,52.06,mg
Pata_27172,15.2,1.59,excretionRateN,ug N-NH4+ h^-1,Beroe cucumis,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,71.1,mg
Pata_27173,-1.7,0.67,excretionRateN,ug N-NH4+ h^-1,Beroe,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,273,mg
Pata_27174,-0.8,2.213,excretionRateN,ug N-NH4+ h^-1,Beroe,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,401.58,mg
Pata_27175,-1.3,2.3,excretionRateN,ug N-NH4+ h^-1,Beroe,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,553,mg
Pata_27176,-1.3,1.35,excretionRateN,ug N-NH4+ h^-1,Beroe,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,588,mg
Pata_27177,-1.7,2.29,excretionRateN,ug N-NH4+ h^-1,Beroe,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,588,mg
Pata_27178,-1.3,2.59,excretionRateN,ug N-NH4+ h^-1,Beroe,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,673,mg
Pata_27179,-1.7,0.9,excretionRateN,ug N-NH4+ h^-1,Beroe,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,789,mg
Pata_27180,-1.7,1.53,excretionRateN,ug N-NH4+ h^-1,Beroe,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,930,mg
Pata_27181,-1.7,2.45,excretionRateN,ug N-NH4+ h^-1,Beroe,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,1498,mg
Pata_27182,-1.7,3.12,excretionRateN,ug N-NH4+ h^-1,Beroe,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,2650,mg
Pata_27183,-1.7,5.35,excretionRateN,ug N-NH4+ h^-1,Beroe,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,4116,mg
Pata_27184,-1,0.0015,excretionRateN,ug N-NH4+ h^-1,Calanoides acutus,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.155,mg
Pata_27185,-1,0.0013,excretionRateN,ug N-NH4+ h^-1,Calanoides acutus,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.171,mg
Pata_27186,-1,0.009,excretionRateN,ug N-NH4+ h^-1,Calanoides acutus,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.177,mg
Pata_27187,-1,0.0221,excretionRateN,ug N-NH4+ h^-1,Calanoides acutus,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.183,mg
Pata_27188,-1,0.0098,excretionRateN,ug N-NH4+ h^-1,Calanoides acutus,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.215,mg
Pata_27189,-1,0.0254,excretionRateN,ug N-NH4+ h^-1,Calanoides acutus,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.229,mg
Pata_27190,-0.1,0.0099,excretionRateN,ug N-NH4+ h^-1,Calanoides acutus,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.234,mg
Pata_27191,-1,0.029,excretionRateN,ug N-NH4+ h^-1,Calanoides acutus,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.247,mg
Pata_27192,-1,0.0181,excretionRateN,ug N-NH4+ h^-1,Calanoides acutus,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.256,mg
Pata_27193,-1,0.0127,excretionRateN,ug N-NH4+ h^-1,Calanoides acutus,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.263,mg
Pata_27194,-1,0.0092,excretionRateN,ug N-NH4+ h^-1,Calanoides acutus,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.271,mg
Pata_27195,-0.1,0.0133,excretionRateN,ug N-NH4+ h^-1,Calanoides acutus,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.307,mg
Pata_27196,-0.1,0.0117,excretionRateN,ug N-NH4+ h^-1,Calanoides acutus,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.324,mg
Pata_27197,-0.2,0.0268,excretionRateN,ug N-NH4+ h^-1,Calanoides acutus,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.34,mg
Pata_27198,-0.1,0.0159,excretionRateN,ug N-NH4+ h^-1,Calanoides acutus,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.346,mg
Pata_27199,-0.1,0.0249,excretionRateN,ug N-NH4+ h^-1,Calanoides acutus,IkedaDatabase,NA,Vanni2016,10.1002/ecy.1582,dryWeight,0.36,mg
